id,name,code,nomenclature,level,version,tunit_code,tunit_name,processes,sources,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE92,Hannover,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,23,20.5,19.2,22.1,24.1,23.1,22.4,22,22.7,24.7,26,26.2,26.6,27,25.2,26,25.4,25.7,27.4,28.3,28.5
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE93,Luneburg,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,19.8,21,21.1,20.1,21.3,17.9,18.2,18,19.1,20.3,21.3,22.9,22.8,23.2,21.6,23,22.5,23.1,23.5,24,27.2
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DE94,Weser-Ems,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,17.9,18,17.2,18.6,20.1,17.6,18.5,18.5,19.7,21,20.3,21.3,22.2,22.3,20.6,20.8,20,20.6,21.5,22.8,25.4
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DEA1,Dusseldorf,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,19,19.3,18,19.5,19.9,20.3,19.1,20.5,21.9,23.1,23,24.2,24.9,24.6,23.8,24.8,26.5,26.1,25.9,26.5,28.9
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DEA2,Koln,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,22.3,23.1,22.1,24.2,24,25.8,24.7,25.9,26.4,27.5,27.2,27.9,28.8,29.3,28.3,28.5,30.3,30.3,30.5,30.9,31.9
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DEA3,Munster,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,18.8,17.9,19.4,19.9,20.2,19.4,18.6,20,20.7,21.4,21.8,23.1,23.3,24.7,22.7,24.1,24.5,23.8,24.4,25.7,26.4
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DEA4,Detmold,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,18.1,21.7,17.4,18.8,20.9,20.1,19.1,18.3,20.1,20.7,20.3,21.3,23,23.2,21.7,22,23,22.8,23.5,24,26.1
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DEA5,Arnsberg,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,17.5,17.9,16,18.9,17.7,17.6,16.6,17.1,18.7,20.1,19.7,21,21.7,22.2,20.9,22,22.7,22.4,22.7,23.1,25.4
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DEB1,Koblenz,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,19.773039,19.583824,19.3,19.5,21,18.4,18.5,18.7,19.5,19.6,20.7,22.5,23.5,22.7,21.9,22.2,23.2,24.3,25.5,26.4,26.8
299,Population - age group 25-64 - with educational attainment level 5-8 (%),25-64_T_5-8,NUTS,2,2016,DEB2,Trier,,1-ESPON Database (Database Portal 2020) : https://database.espon.eu | 2-Database Eurostat : https://ec.europa.eu/eurostat,20.695098,20.497059,20.2,20.2,25,21.9,20.5,22.2,23.2,25.7,24.3,26.5,27.6,27.5,25.7,25.2,26.1,27.5,28.4,29.4,31.8
