"NUTS","Name","Country","Year","GDP_growth","GDP_capita","Labor_Prodx","Wage_EUR","Activity_rate","NEET_share","Life_exp","Fertility_rate","Pop_edu_1","Pop_edu_2","Pop_edu_3","inv_rate","GVA_agriculture","GVA_industry","GVA_construction","GVA_services","GVA_public","GFCF_share","Pop_growth","emp_rate","unemp_rate","Employment_rate","Unemployment_rate","Migration_rate","Candidates","CEE","Capital","Coastal","Island","Objective_1","Eurozone","Output_density","Employment_density","Population_density","Dist_BRUX"
"SE33","Övre Norrland","Sweden",2019,0.0131656658251977,34568.8696491908,93261.69,3598.44833333333,0.681,0.066,82.2,1.7,0.092,0.512,0.397,0.311156003422379,0.0254491871850936,0.305694457648065,0.0734623063028805,0.337047247837247,0.258356307633806,0.276340840492222,0.00198767411371649,0.639,0.061,0.487299516537488,0.0305041823344333,0.00239620903998158,0,0,0,1,0,0,0,0.109846030744115,0.00154844281049329,0.00317759972654144,1623.89131971081
"SI03","Vzhodna Slovenija","Slovenia",2008,0.0376746930274675,15970.3784846138,34135.43,1722.04916666667,0.638,0.085,78.1,1.47,0.204,0.612,0.184,0.372241954214233,0.0322782188236413,0.337851695404445,0.0905800300167741,0.377756348004428,0.161540498876069,0.325901218272301,0.00015101136429157,0.561,0.052,0.450861000843706,0.0240666619082392,0.00510798885063845,0,1,0,0,0,1,1,1.40738767754032,0.0397320713145435,0.0881248793756658,886.216634071038
"SI03","Vzhodna Slovenija","Slovenia",2009,-0.0929005487017702,14486.7215604182,33169.66,1752.81083333333,0.641,0.11,78.4,1.48,0.191,0.618,0.191,0.287266455878126,0.032509341764875,0.312553894797356,0.0831129634952573,0.39244035642426,0.179383443518252,0.251375535279729,0.00453789263889575,0.553,0.068,0.436708670498116,0.032065384233487,0.00326392817353932,0,1,0,0,0,1,1,1.28243384799686,0.038659539249426,0.0885247806170883,886.216634071038
"SI03","Vzhodna Slovenija","Slovenia",2010,0.0141473235322427,14691.669897255,34124.89,1829.62583333333,0.636,0.107,78.9,1.51,0.193,0.612,0.195,0.25036533657757,0.0340932814063479,0.320135624455595,0.0690504128483295,0.392641437446459,0.184086442593566,0.21820885408824,0.0012152051865759,0.542,0.078,0.424987557900119,0.0394871762210772,-0.0014948716712265,0,1,0,0,0,1,1,1.30215732229236,0.0376676486929639,0.0886323563896346,886.216634071038
"SI03","Vzhodna Slovenija","Slovenia",2011,0.0133404155766825,14887.6628791998,35608.93,1869.38166666667,0.625,0.109,79,1.52,0.176,0.612,0.212,0.241484394200049,0.0386195274374188,0.330119720535056,0.0647193062528526,0.384931362567145,0.181603061475266,0.210252491288134,-0.00020107525218567,0.522,0.092,0.418065831263025,0.0455922902618144,0.00044318254206594,0,1,0,0,0,1,1,1.31926331756348,0.0370467090763168,0.0886145346162218,886.216634071038
"SI03","Vzhodna Slovenija","Slovenia",2012,-0.0313166225055724,14421.4315608216,35340.57,1858.62583333333,0.627,0.133,79.4,1.54,0.175,0.602,0.223,0.239983853062872,0.0354007179620259,0.338927093695486,0.0667358678257861,0.376850770583741,0.182085549932961,0.208354977000344,-0.00061062728075204,0.518,0.099,0.411674022649811,0.0491714161094665,-0.00179839901511475,0,1,0,0,0,1,1,1.27716809607722,0.036458026063132,0.088560424163914,886.216634071038
"SI03","Vzhodna Slovenija","Slovenia",2013,-0.0124004039979938,14242.599983238,36192.24,1874.57083333333,0.619,0.147,79.5,1.53,0.175,0.589,0.236,0.268344222351597,0.0355779804644544,0.346313905599758,0.0627034952670505,0.379117522335066,0.176287096333671,0.231939069013288,-0.00204334551388227,0.5,0.113,0.405856079857293,0.0552029964733953,-0.00189880058944026,0,1,0,0,0,1,1,1.2587533612939,0.0358693430499472,0.0883794646184911,886.216634071038
"SI03","Vzhodna Slovenija","Slovenia",2014,0.0278398332610697,14639.1115919755,37377.42,1909.1275,0.628,0.148,80.3,1.59,0.163,0.589,0.248,0.255107309313165,0.0362186374926739,0.350073958304262,0.0678393011637967,0.374724400658648,0.171136725182105,0.220522068491333,-0.00166612680265157,0.51,0.11,0.405436653264834,0.0545639499547128,-0.00106294595975429,0,1,0,0,0,0,1,1.29164121538852,0.0357725732395606,0.0882322132236862,886.216634071038
"SI03","Vzhodna Slovenija","Slovenia",2015,0.0194989416389181,14924.558774553,38006.41,1937.13916666667,0.625,0.139,79.8,1.58,0.15,0.59,0.26,0.228839891957027,0.0376254916429166,0.350246075318679,0.0642300584217332,0.375869048666725,0.172036095559813,0.197853137766748,-0.00114885904678516,0.511,0.103,0.411301597991348,0.0502346111895995,-0.00040169388546874,0,1,0,0,0,0,1,1.31531400362375,0.0362483581406278,0.0881308468473063,886.216634071038
"SI03","Vzhodna Slovenija","Slovenia",2016,0.0271200298886022,15329.3132545931,38973.4,1998.92,0.618,0.118,80.2,1.61,0.139,0.594,0.268,0.212349869451697,0.0347911227154047,0.352049608355091,0.0630026109660574,0.374144908616188,0.176011749347258,0.183924422056005,-0.00109161914661552,0.51,0.089,0.415689960143962,0.0424117345849833,-0.00013007486632975,0,1,0,0,0,0,1,1.34951059723056,0.0365951166278463,0.0880346415274804,886.216634071038
