"Country","NUTS","Name","Year","GDP_growth","Employment_abs","GDP_EUR","Migration_abs","Population_abs","Pop_growth","Labor_Productivity_abs","Wage_EUR","GDP_capita","Activity_rate","Pop_edu_1","Pop_edu_2","Pop_edu_3","NEET_share","Life_exp","Fertility_rate","Labor_force_abs","Employment_rate","Unemployment_rate","Prodx_A","Prodx_B-E","Prodx_F","Prodx_G-I","Prodx_J","Prodx_K","Prodx_L-M-N","Prodx_O-Q","Prodx_R-U","inv_rate","GFCF_share","GVA_A","GVA_B-E","GVA_F","GVA_G-I","GVA_J","GVA_K","GVA_L-M-N","GVA_O-Q","GVA_R-U"
"Hungary","HU31","Észak-Magyarország",2009,-0.110332953057727,331200,7452700000,-8436,1216190,-0.0111954860320661,20425.92,927.0975,6127.90764600926,0.502,0.221,0.628,0.151,0.241,72.9,1.47,402700,0.272325870135423,0.0587901561433658,15140.9395973154,19447.2309299895,12123.1343283582,12095.6873315364,39173.9130434783,31229.1666666667,38643.2748538012,16473.3727810651,13898.1481481481,0.277038891496723,0.213815127403491,0.0392218223543525,0.323562648863854,0.0564856829917071,0.156035396999252,0.0156643891583651,0.0260609537717971,0.11488377753438,0.242006988994941,0.0260957248909056
"Hungary","HU31","Észak-Magyarország",2010,0.023902125302581,331900,7541300000,-7986,1201920,-0.0117333640302913,21506.06,947.959166666667,6274.37766240682,0.508,0.223,0.622,0.156,0.237,73.2,1.41,408100,0.276141506922258,0.0633985623003195,15931.5068493151,20838.8429752066,12336.0655737705,12912.0111731844,39521.7391304348,30777.7777777778,41061.4525139665,16532.8054298643,13704.347826087,0.276688453159041,0.222295890628937,0.0383904403512247,0.332937215290156,0.0496798045817654,0.152587971215422,0.0150029708853238,0.0228593120749984,0.121311150722915,0.241219383376246,0.0260117515019476
"Hungary","HU31","Észak-Magyarország",2011,0.0223373123726938,332600,7683100000,-5879,1197765,-0.00345696884984026,21821.73,975.5075,6414.53039619625,0.51,0.226,0.62,0.154,0.231,73.4,1.41,409700,0.277683852842586,0.06436988891811,19937.106918239,21114.837398374,12213.1147540984,13122.3922114047,43217.3913043478,30266.6666666667,37655,16507.7288941736,14385.9649122807,0.285857670141812,0.229829105439211,0.0513177491420061,0.336349802499514,0.0482419219063653,0.15273910509616,0.0160914330117205,0.0220488247102247,0.12191607848216,0.22474583953895,0.026549245612899
"Hungary","HU31","Észak-Magyarország",2012,-0.0255485478249097,336000,7470400000,-5413,1195140,-0.00219158182114188,21152.42,961.460833333333,6250.64845959469,0.516,0.23,0.614,0.156,0.268,73.7,1.47,411600,0.281138611376073,0.0632561875596164,18011.4285714286,20645.6211812627,11045.0819672131,12371.0777626194,39818.1818181818,25979.5918367347,38590.4255319149,15965.075669383,13553.5714285714,0.273915587129127,0.219359070464768,0.0526870037609695,0.338888424571667,0.0450480568324279,0.151575428332637,0.0146427078980359,0.0212787296280819,0.121270371918094,0.229235269536147,0.025374007521939
"Hungary","HU31","Észak-Magyarország",2013,0.0604442488488325,341800,7842600000,-7038,1183170,-0.0100155630302726,21973.05,942.641666666667,6628.46421055301,0.518,0.229,0.604,0.167,0.245,74.2,1.52,400500,0.288884944682505,0.0496124817228293,19527.2727272727,23996.8119022317,11633.2046332046,12779.4943820225,36590.9090909091,22533.3333333333,31288.7029288703,15965.4054054054,13136.3636363636,0.276319316336345,0.223459056945401,0.0508017596140201,0.356038030367532,0.0475064251139177,0.143465304384845,0.0126925563281459,0.0159878908282484,0.117906753070653,0.232849281806285,0.0227835327877899
"Hungary","HU31","Észak-Magyarország",2014,0.0527723214526807,358900,8170500000,-7106,1170850,-0.010412704852219,22003.29,924.166666666667,6978.2636546099,0.543,0.213,0.616,0.171,0.216,74.4,1.65,409400,0.30652944442072,0.0431310586326173,20603.6585365854,25710.388247639,12285.7142857143,13773.097826087,34846.1538461538,22604.6511627907,26660.8391608392,14496.9818913481,12694.2148760331,0.351979500704289,0.287485466005752,0.0506338598016004,0.367159169239069,0.0489705397548476,0.151901579404801,0.0135762879491713,0.0145652890580514,0.114259597806216,0.21593190877214,0.0230167530793898
"Hungary","HU31","Észak-Magyarország",2015,0.0954405635995369,365600,8861700000,-5646,1159260,-0.00989879147627792,24240.8,952.971666666667,7644.27307075203,0.563,0.215,0.606,0.179,0.205,74.5,1.66,408500,0.315373600400255,0.0370063661301175,21155.6886227545,30559.0386624869,13440.4761904762,13716.339869281,35370.3703703704,22300,29029.304029304,15824.0384615385,13058.8235294118,0.334846780242152,0.282124197388763,0.0473186542376513,0.391688096003429,0.0453632272581164,0.14053626915247,0.012790635379835,0.0119468552448302,0.106142183649416,0.220414121932926,0.0237865638058502
"Hungary","HU31","Észak-Magyarország",2016,0.023227840610091,370500,8985800000,-5281,1148810,-0.00901437123682349,24409.37,985.4075,7821.83302721947,0.571,0.212,0.616,0.172,0.191,74.6,1.77,402000,0.322507638338803,0.0274196777535014,20724.7191011236,29833.4995014955,12418.410041841,13696.7741935484,35156.25,19111.1111111111,33803.3472803347,16540.1322001889,14316.1764705882,0.284481634993874,0.242894344410069,0.0480826881468158,0.390018508380908,0.0386851229112901,0.138356664320534,0.0146633299444749,0.0112093011131097,0.105302260107922,0.228304788717708,0.0253773363572378
"Hungary","HU31","Észak-Magyarország",2017,0.0698858105118814,377400,9535200000,-3997,1139420,-0.00817367536842472,26990.59,1063.80833333333,8368.46816801531,0.585,0.202,0.623,0.175,0.183,74.4,1.82,406800,0.331221147601411,0.0258026013234804,21351.6483516484,32941.6195856874,13105.8823529412,14532.6504481434,34514.2857142857,25250,33832.1428571429,19005.9523809524,15021.7391304348,0.291805100540616,0.264357328634953,0.0449857032054918,0.404987092367711,0.0386881678107961,0.131391593253302,0.0139842330088096,0.0105229038120927,0.109662780871236,0.221779748330111,0.0239977773404489
"Hungary","HU31","Észak-Magyarország",2018,0.0499049905869913,389600,9.934e+09,-3537,1130650,-0.00769689842200418,27806.17,1102.79416666667,8786.09649316765,0.597,0.198,0.627,0.174,0.172,74.4,1.84,413600,0.344580551010481,0.0212267279883253,21329.6089385475,32524.7349823322,15561.1510791367,15755.7251908397,33236.8421052632,26088.2352941176,34990.0332225914,19274.3718592965,14666.6666666667,0.360172687032078,0.33172941413328,0.041729056232581,0.402404502978305,0.0472812722006667,0.135351658560577,0.0138040330072682,0.00969451882616536,0.115110115306847,0.209607082354227,0.0250068309743702
