"NUTS","Name","Country","Year","GDP_growth","Employment_abs","Labor_Productivity_abs","Wage_EUR","Activity_rate","NEET_share","Life_exp","Fertility_rate","Pop_edu_1","Pop_edu_2","Pop_edu_3","inv_rate","GVA_primary","GVA_services","GVA_public","GFCF_share","GDP_EUR","GDP_capita","Population_abs","Pop_growth","emp_rate","unemp_rate","Migration_rate"
"TR51","Ankara","Turkey",2010,0.0554293881056001,1441500,38250.76,953.359166666667,0.473,0.326,78.1,1.63,0.55,0.219,0.231,0.279937596089245,0.315321108102204,0.440120686030839,0.244560266762292,0.2823229616711,48112629307.9351,10126.6934202054,4751070,0.0167420776714446,0.41,0.107,0.0154552553424807
"TR51","Ankara","Turkey",2011,0.0870066493873298,1544000,36408.7,890.454166666667,0.484,0.314,78.5,1.64,0.539,0.224,0.237,0.315065947230095,0.338184345184105,0.425250041917752,0.236565612898143,0.293384626374302,53159908863.4662,11007.7830840702,4829302,0.0164661855118952,0.43,0.085,0.014791164437428
"TR51","Ankara","Turkey",2012,0.00881011647831466,1602000,39531.29,1011.40666666667,0.493,0.3,78.8,1.67,0.524,0.221,0.255,0.306263024882664,0.319517574431731,0.439716464166604,0.240765961401665,0.313827922852113,54601897257.1631,11104.7629352088,4916980,0.0181554187333905,0.439,0.083,0.00513221530288917
"TR51","Ankara","Turkey",2013,0.0990974086963259,1666700,41422.39,1018.65,0.504,0.26,79.3,1.69,0.514,0.228,0.258,0.32323691134716,0.338323734079471,0.429102339002592,0.232575578639279,0.320335528546752,61091256685.7031,12205.216166275,5005340,0.0179703801927199,0.445,0.09,0.00578122565100473
"TR51","Ankara","Turkey",2014,0.00297440038696828,1778800,37006.49,988.49,0.533,0.241,79.4,1.76,0.504,0.227,0.268,0.324804061917464,0.327414853188049,0.431827622549272,0.240759240759241,0.303234274392925,62402246704.7395,12241.519365963,5097590,0.0184303164220612,0.456,0.115,0.0100478853732842
"TR51","Ankara","Turkey",2015,0.0276994126066464,1829800,39159.45,1053.86,0.539,0.239,79.3,1.76,0.499,0.227,0.274,0.335172426891283,0.317936859898106,0.446648085807484,0.23541505429441,0.323077906649685,65548586158.7022,12580.6022618131,5210290,0.0221084865593349,0.463,0.111,0.0128917968097745
"TR51","Ankara","Turkey",2016,0.045286965904865,1908300,39227.89,1139.16,0.55,0.243,79.2,1.73,0.496,0.217,0.286,0.329986067783263,0.315370869552049,0.448438683102644,0.236188932973923,0.31214064966226,69809235111.0866,13150.3395675065,5308550,0.0188588351128248,0.472,0.113,0.00465174105923463
"TR51","Ankara","Turkey",2017,0.0226299697861535,1959400,35525.9,1009.8,0.552,0.243,79.4,1.71,0.494,0.217,0.288,0.336580926114565,0.330682788028172,0.444132065174264,0.225186766275347,0.286420424497903,72562213523.82,13447.9313545968,5395790,0.016433866121634,0.475,0.113,0.00901147005350468
"TR51","Ankara","Turkey",2018,0.00343162021310199,1998300,29425.99,843.81,0.543,0.233,79.6,1.65,0.479,0.227,0.294,0.332025737135226,0.329808261377604,0.428120779398152,0.242072856123951,0.236941125611881,73873203542.8564,13494.0795476577,5474490,0.0145854453194064,0.471,0.101,0.00222139413899742
"TR51","Ankara","Turkey",2019,0.0314121719805995,1945700,32281.52,920.908333333333,0.547,0.257,79.9,1.53,0.462,0.224,0.314,0.288499587142905,0.312531936750647,0.417066999545592,0.270399295579158,0.210418865859475,77543902412.7089,13917.9578951286,5571500,0.017720372125988,0.453,0.142,0.0167209907565288
