"NUTS","Year","emp_rate","unemp_rate"
"DE27",2019,0.631,0.022
"DE30",2009,0.515,0.137
"DE30",2010,0.521,0.128
"DE30",2011,0.536,0.116
"DE30",2012,0.542,0.104
"DE30",2013,0.548,0.104
"DE30",2014,0.553,0.098
"DE30",2015,0.551,0.094
"DE30",2016,0.574,0.078
"DE30",2017,0.585,0.07
"DE30",2018,0.596,0.061
"DE30",2019,0.603,0.053
"DE40",2009,0.552,0.113
"DE40",2010,0.558,0.098
"DE40",2011,0.563,0.088
"DE40",2012,0.564,0.082
"DE40",2013,0.563,0.073
"DE40",2014,0.563,0.067
"DE40",2015,0.565,0.057
"DE40",2016,0.581,0.046
"DE40",2017,0.579,0.045
"DE40",2018,0.579,0.041
"DE40",2019,0.58,0.034
"DE50",2009,0.492,0.091
"DE50",2010,0.51,0.079
"DE50",2011,0.528,0.077
"DE50",2012,0.529,0.066
"DE50",2013,0.524,0.07
"DE50",2014,0.534,0.066
"DE50",2015,0.527,0.056
"DE50",2016,0.563,0.053
"DE50",2017,0.561,0.043
"DE50",2018,0.564,0.043
"DE50",2019,0.569,0.051
"DE60",2009,0.566,0.072
"DE60",2010,0.569,0.07
"DE60",2011,0.579,0.053
"DE60",2012,0.581,0.053
"DE60",2013,0.59,0.047
"DE60",2014,0.598,0.05
"DE60",2015,0.598,0.043
"DE60",2016,0.61,0.041
"DE60",2017,0.619,0.042
"DE60",2018,0.614,0.041
"DE60",2019,0.625,0.036
"DE71",2009,0.564,0.063
"DE71",2010,0.565,0.058
"DE71",2011,0.584,0.047
"DE71",2012,0.583,0.048
"DE71",2013,0.588,0.043
"DE71",2014,0.577,0.045
"DE71",2015,0.584,0.041
"DE71",2016,0.596,0.04
"DE71",2017,0.602,0.035
"DE71",2018,0.602,0.031
"DE71",2019,0.612,0.031
"DE72",2009,0.546,0.067
"DE72",2010,0.547,0.06
"DE72",2011,0.57,0.051
"DE72",2012,0.565,0.05
"DE72",2013,0.575,0.045
"DE72",2014,0.579,0.045
"DE72",2015,0.576,0.038
"DE72",2016,0.59,0.04
"DE72",2017,0.579,0.036
"DE72",2018,0.57,0.036
"DE72",2019,0.58,0.033
"DE73",2009,0.529,0.066
"DE73",2010,0.542,0.06
"DE73",2011,0.564,0.044
"DE73",2012,0.565,0.045
"DE73",2013,0.569,0.043
"DE73",2014,0.567,0.044
"DE73",2015,0.577,0.036
"DE73",2016,0.571,0.037
"DE73",2017,0.583,0.025
"DE73",2018,0.584,0.029
"DE73",2019,0.595,0.028
"DE80",2009,0.527,0.139
"DE80",2010,0.536,0.123
"DE80",2011,0.543,0.101
"DE80",2012,0.532,0.108
"DE80",2013,0.534,0.1
"DE80",2014,0.531,0.096
"DE80",2015,0.533,0.078
"DE80",2016,0.545,0.063
"DE80",2017,0.548,0.051
"DE80",2018,0.54,0.048
"DE80",2019,0.553,0.04
"DE91",2009,0.516,0.085
"DE91",2010,0.522,0.071
"DE91",2011,0.545,0.062
"DE91",2012,0.543,0.055
"DE91",2013,0.539,0.062
"DE91",2014,0.538,0.055
"DE91",2015,0.545,0.049
"DE91",2016,0.547,0.046
"DE91",2017,0.555,0.044
"DE91",2018,0.564,0.04
"DE91",2019,0.576,0.033
"DE92",2009,0.53,0.079
"DE92",2010,0.534,0.07
"DE92",2011,0.546,0.067
"DE92",2012,0.562,0.054
"DE92",2013,0.565,0.054
"DE92",2014,0.563,0.052
"DE92",2015,0.561,0.047
"DE92",2016,0.558,0.047
"DE92",2017,0.567,0.045
"DE92",2018,0.574,0.041
"DE92",2019,0.59,0.035
"DE93",2009,0.561,0.054
"DE93",2010,0.562,0.057
"DE93",2011,0.571,0.053
"DE93",2012,0.574,0.044
"DE93",2013,0.573,0.043
"DE93",2014,0.583,0.04
"DE93",2015,0.592,0.035
"DE93",2016,0.588,0.033
"DE93",2017,0.597,0.034
"DE93",2018,0.591,0.024
"DE93",2019,0.596,0.026
"DE94",2009,0.546,0.059
"DE94",2010,0.555,0.059
"DE94",2011,0.57,0.042
"DE94",2012,0.572,0.043
"DE94",2013,0.583,0.04
"DE94",2014,0.581,0.041
"DE94",2015,0.575,0.039
"DE94",2016,0.593,0.036
"DE94",2017,0.6,0.03
"DE94",2018,0.606,0.027
"DE94",2019,0.607,0.029
"DEA1",2009,0.518,0.077
"DEA1",2010,0.52,0.076
"DEA1",2011,0.534,0.067
"DEA1",2012,0.536,0.065
"DEA1",2013,0.538,0.063
"DEA1",2014,0.54,0.063
"DEA1",2015,0.539,0.059
"DEA1",2016,0.55,0.049
"DEA1",2017,0.558,0.043
"DEA1",2018,0.559,0.043
"DEA1",2019,0.567,0.038
"DEA2",2009,0.534,0.071
"DEA2",2010,0.533,0.07
"DEA2",2011,0.543,0.06
"DEA2",2012,0.543,0.054
"DEA2",2013,0.543,0.058
"DEA2",2014,0.547,0.053
"DEA2",2015,0.551,0.048
"DEA2",2016,0.574,0.039
"DEA2",2017,0.577,0.037
"DEA2",2018,0.574,0.036
"DEA2",2019,0.585,0.034
"DEA3",2009,0.532,0.073
"DEA3",2010,0.537,0.066
"DEA3",2011,0.55,0.053
"DEA3",2012,0.553,0.049
"DEA3",2013,0.553,0.051
"DEA3",2014,0.559,0.049
"DEA3",2015,0.565,0.044
"DEA3",2016,0.571,0.043
"DEA3",2017,0.571,0.039
"DEA3",2018,0.587,0.036
"DEA3",2019,0.594,0.034
"DEA4",2009,0.536,0.077
"DEA4",2010,0.535,0.07
"DEA4",2011,0.552,0.055
"DEA4",2012,0.563,0.047
"DEA4",2013,0.567,0.05
"DEA4",2014,0.569,0.05
"DEA4",2015,0.571,0.047
"DEA4",2016,0.577,0.041
"DEA4",2017,0.582,0.039
"DEA4",2018,0.589,0.032
"DEA4",2019,0.591,0.03
"DEA5",2009,0.508,0.092
"DEA5",2010,0.508,0.082
"DEA5",2011,0.526,0.071
"DEA5",2012,0.528,0.066
"DEA5",2013,0.531,0.065
"DEA5",2014,0.541,0.057
"DEA5",2015,0.533,0.057
"DEA5",2016,0.547,0.05
"DEA5",2017,0.551,0.046
"DEA5",2018,0.563,0.04
"DEA5",2019,0.57,0.039
"DEB1",2009,0.545,0.067
"DEB1",2010,0.559,0.051
"DEB1",2011,0.567,0.044
"DEB1",2012,0.571,0.04
"DEB1",2013,0.571,0.038
"DEB1",2014,0.568,0.04
"DEB1",2015,0.574,0.034
"DEB1",2016,0.589,0.034
"DEB1",2017,0.588,0.031
"DEB1",2018,0.59,0.027
"DEB1",2019,0.601,0.022
"DEB2",2009,0.583,0.046
"DEB2",2010,0.584,0.041
"DEB2",2011,0.579,0.041
"DEB2",2012,0.586,0.027
"DEB2",2013,0.589,0.03
"DEB2",2014,0.603,0.03
"DEB2",2015,0.605,0.029
"DEB2",2016,0.606,0.027
"DEB2",2017,0.61,0.02
"DEB2",2018,0.617,0.025
"DEB2",2019,0.631,0.02
"DEB3",2009,0.548,0.058
"DEB3",2010,0.546,0.06
"DEB3",2011,0.556,0.052
"DEB3",2012,0.565,0.043
"DEB3",2013,0.572,0.044
"DEB3",2014,0.577,0.039
"DEB3",2015,0.571,0.041
"DEB3",2016,0.58,0.041
"DEB3",2017,0.581,0.038
"DEB3",2018,0.582,0.035
"DEB3",2019,0.594,0.033
"DEC0",2009,0.513,0.084
"DEC0",2010,0.514,0.069
"DEC0",2011,0.522,0.058
"DEC0",2012,0.528,0.062
"DEC0",2013,0.532,0.059
"DEC0",2014,0.529,0.058
"DEC0",2015,0.533,0.056
"DEC0",2016,0.55,0.048
"DEC0",2017,0.551,0.045
"DEC0",2018,0.559,0.036
"DEC0",2019,0.561,0.037
"DED2",2009,0.521,0.12
"DED2",2010,0.533,0.103
"DED2",2011,0.542,0.086
"DED2",2012,0.539,0.075
"DED2",2013,0.54,0.072
"DED2",2014,0.546,0.074
"DED2",2015,0.552,0.062
"DED2",2016,0.562,0.049
"DED2",2017,0.57,0.043
"DED2",2018,0.568,0.04
"DED2",2019,0.583,0.035
"DED4",2009,0.511,0.125
"DED4",2010,0.513,0.115
"DED4",2011,0.525,0.088
"DED4",2012,0.524,0.079
