"NUTS","Name","Year","GDP_EUR","GDP_EUR_to_keep","GDP_capita","GDP_growth","Population_abs","Pop_growth"
"FRI1","Aquitaine","2018",106161600000,98322432154.31,28518.1024428637,0.0176315063645905,3447720,0.00634181097276031
"FRI1","Aquitaine","2019",109435600000,100172325604.499,28882.3301171957,0.0127718060856866,3468291,0.00596655180815147
"FRI2","Limousin","2000",13773600000,16235372024.5911,22721.9725951315,NA,714523,NA
"FRI2","Limousin","2001",14279200000,16495023794.4807,22997.4009202861,0.0121216731514621,717256,0.00382492935846712
"FRI2","Limousin","2002",14972900000,16945042752.0506,23533.6702878623,0.0233186945531365,720034,0.00387309412538898
"FRI2","Limousin","2003",15306300000,17014232812.3197,23544.9072931196,0.000477486304510373,722629,0.0036039964779441
"FRI2","Limousin","2004",1.5584e+10,17048827842.4543,23493.038888757,-0.0022029564065337,725697,0.0042456087425221
"FRI2","Limousin","2005",16277300000,17464251769.8896,23949.74762877,0.019440172988077,729204,0.00483259542205631
"FRI2","Limousin","2006",16946500000,17810391115.1156,24266.1273761353,0.0132101495293078,733961,0.00652355170843824
"FRI2","Limousin","2007",17615700000,18035447854.8707,24409.4347260022,0.00590565390371543,738872,0.00669109121601829
"FRI2","Limousin","2008",17591600000,17602726412.3681,23746.8738067602,-0.0271436404275371,741265,0.0032387206444418
"FRI2","Limousin","2009",17204600000,17204600000,23178.0772458873,-0.0239524817246012,742279,0.00136793184623583
"FRI2","Limousin","2010",16834200000,16650795952.0265,22442.7547764747,-0.0317249123648977,741923,-0.000479604030290497
"FRI2","Limousin","2011",17268200000,16927650715.0431,22879.7177754572,0.0194701142232548,739854,-0.00278869909680654
"FRI2","Limousin","2012",17349600000,16806568109.5722,22770.9059679438,-0.0047558194808745,738072,-0.00240858331508649
"FRI2","Limousin","2013",17739200000,17066125357.5215,23130.5980861374,0.0157961268076029,737816,-0.000346849629846411
"FRI2","Limousin","2014",18009600000,17221897515.0673,23333.5015839389,0.00877208177003819,738076,0.000352391382133215
"FRI2","Limousin","2015",18311600000,17308479612.3439,23484.2822110866,0.00646198028209883,737024,-0.00142532747305156
"FRI2","Limousin","2016",18143300000,17066125357.5215,23210.6286619395,-0.0116526256449929,735272,-0.00237712747481764
"FRI2","Limousin","2017",18609700000,17412359224.6878,23757.9058008479,0.0235787296793825,732908,-0.00321513671131228
"FRI2","Limousin","2018",18807100000,17429656739.7551,23873.8547237812,0.00488043533404208,730073,-0.00386815261942836
"FRI2","Limousin","2019",19652800000,18000852824.7362,24741.5358058158,0.0363444065515895,727556,-0.00344760044543491
"FRI3","Poitou-Charentes","2000",32669300000,38533834981.4231,23265.6133567575,NA,1656257,NA
"FRI3","Poitou-Charentes","2001",34013200000,39306294643.8754,23560.7296805517,0.0126846569342018,1668297,0.00726940323874858
"FRI3","Poitou-Charentes","2002",3.5484e+10,40169698645.4881,23903.8901956945,0.014564935797637,1680467,0.0072948641638749
"FRI3","Poitou-Charentes","2003",36618800000,40714986533.5097,24059.7185478891,0.00651895364808657,1692247,0.00700995616099572
"FRI3","Poitou-Charentes","2004",38300900000,41896412111.9783,24577.5047366951,0.021520874725751,1704665,0.00733817226445076
"FRI3","Poitou-Charentes","2005",3.918e+10,42032734083.9837,24470.1301518899,-0.0043688155472045,1717716,0.00765604972237947
"FRI3","Poitou-Charentes","2006",40802700000,42850665916.0163,24741.2406202803,0.0110792409646992,1731953,0.00828833171490514
"FRI3","Poitou-Charentes","2007",43123700000,44168508003.2253,25293.4198827916,0.0223181719537009,1746245,0.00825195602882988
"FRI3","Poitou-Charentes","2008",43381100000,43395953804.0379,24703.9259018274,-0.0233062189176406,1756642,0.00595391826461923
"FRI3","Poitou-Charentes","2009",42441700000,42441700000,24039.8873954244,-0.0268798776778167,1765470,0.00502549751172977
"FRI3","Poitou-Charentes","2010",43233800000,42805288283.1712,24128.3108397538,0.00367819710944969,1774069,0.00487065767189474
